代码,名称
300695,兆丰股份
000981,山子高科
300926,博俊科技
300585,奥联电子
001282,三联锻造
300863,卡倍亿
300707,威唐工业
920978,开特股份
600960,渤海汽车
001278,一彬科技
301181,标榜股份
300745,欣锐科技
301607,富特科技
000559,万向钱潮
603701,德宏股份
000338,潍柴动力
920106,林泰新材
920906,舜宇精工
002553,南方精工
688612,威迈斯
920195,三祥科技
301020,密封科技
920270,天铭科技
603767,中马传动
002284,亚太股份
603190,亚通精工
002537,海联金汇
301005,超捷股份
603023,威帝股份
603358,华达科技
002870,香山股份
920022,世昌股份
603210,泰鸿万立
001260,坤泰股份
600148,长春一东
301072,中捷精工
920663,明阳科技
200030,富奥B
002906,华阳集团
603922,金鸿顺
603788,宁波高发
301357,北方长龙
002434,万里扬
002593,日上集团
920690,捷众科技
601279,英利汽车
603926,铁流股份
920271,邦德股份
301298,东利机械
301170,锡南科技
301560,众捷汽车
603768,常青股份
300694,蠡湖股份
603348,文灿股份
000903,ST云动
002863,今飞凯达
603107,上海汽配
600081,东风科技
600609,金杯汽车
600626,申达股份
920454,同心传动
600178,东安动力
920378,泰德股份
603390,通达电气
605133,嵘泰股份
920436,大地电气
603586,金麒麟
000570,苏常柴Ａ
920221,易实精密
200581,苏威孚Ｂ
605151,西上海
000901,航天科技
002806,华锋股份
603950,长源东谷
920533,骏创科技
600218,全柴动力
002363,隆基机械
300432,富临精工
603202,天有为
000678,襄阳轴承
301192,泰祥股份
300473,德尔股份
301186,超达装备
603161,科华控股
603997,继峰股份
002085,万丰奥威
600742,XD富维股
603409,汇通控股
300176,鸿特科技
605005,合兴股份
002592,ST八菱
603211,晋拓股份
300912,凯龙高科
301539,宏鑫科技
301613,新铝时代
000030,富奥股份
605228,神通科技
600523,贵航股份
002406,远东传动
601799,星宇股份
002813,路畅科技
603418,友升股份
301173,毓恬冠佳
603006,联明股份
920146,华阳变速
605018,长华集团
603158,腾龙股份
688533,上声电子
002662,峰璟股份
001311,多利科技
002920,德赛西威
920000,安徽凤凰
002766,索菱股份
300375,鹏翎股份
920837,华原股份
002976,瑞玛精密
300928,华安鑫创
600676,交运股份
603048,浙江黎明
002328,新朋股份
301552,科力装备
300446,航天智造
300681,英搏尔
300978,东箭科技
301133,金钟股份
603730,岱美股份
003033,征和工业
605333,沪光股份
603007,*ST花王
603917,合力科技
603758,秦安股份
002101,广东鸿图
603178,圣龙股份
002355,兴民智通
603089,正裕工业
002448,中原内配
603085,天成自控
301535,浙江华远
603201,常润股份
002510,天汽模
002283,天润工业
301499,维科精密
002454,松芝股份
300733,西菱动力
600741,华域汽车
301007,德迈仕
002921,联诚精密
605088,冠盛股份
300998,宁波方正
002239,奥特佳
301581,黄山谷捷
002708,光洋股份
300237,ST美晨
300643,万通智控
000581,威孚高科
603982,泉峰汽车
002516,旷达科技
300507,苏奥传感
002547,春兴精工
601717,中创智领
301119,正强股份
002997,瑞鹄模具
603013,XD亚普股
002536,飞龙股份
603949,雪龙集团
300816,艾可蓝
001319,铭科精技
301022,海泰科
301398,星源卓镁
605319,无锡振华
688667,菱电电控
603335,迪生力
688280,精进电动-UW
605208,永茂泰
603121,华培动力
002725,跃岭股份
002703,浙江世宝
300893,松原安全
603596,伯特利
301488,豪恩汽电
603306,华懋科技
603037,凯众股份
002590,万安科技
000700,模塑科技
300258,精锻科技
002190,成飞集成
300580,贝斯特
300969,恒帅股份
600480,凌云股份
600698,湖南天雁
301656,联合动力
603809,豪能股份
603633,徕木股份
301529,福赛科技
600933,爱柯迪
002265,建设工业
603305,旭升集团
001285,C瑞立
300611,美力科技
603197,保隆科技
002126,银轮股份
002715,登云股份
300652,雷迪克
600699,均胜电子
688326,经纬恒润-W
605068,明新旭腾
603286,日盈电子
603239,浙江仙通
301160,翔楼新材
605128,上海沿浦
603035,常熟汽饰
300428,立中集团
301550,斯菱股份
603786,科博达
603655,朗博科技
301225,恒勃股份
601689,拓普集团
300100,双林股份
603040,新坐标
002664,信质集团
301397,溯联股份
000887,中鼎股份
301229,纽泰格
603319,美湖股份
300304,云意电气
603166,福达股份
603009,北特科技
002488,金固股份
688071,华依科技
002472,双环传动
300680,隆盛科技
002048,宁波华翔
603179,新泉股份
605255,天普股份
