代码,名称,最新价,涨跌幅,市盈率-动态,市净率,总市值
301323,新莱福,76.1,19.99,59.41,3.77,7984631929.0
300950,德固特,40.57,19.99,63.08,8.12,6186113600.0
301071,力量钻石,41.1,14.97,206.4,2.03,10697192064.0
920725,惠丰钻石,31.7,14.73,-143.58,4.76,2893417500.0
300260,新莱应材,74.78,14.03,141.07,14.78,30495788915.0
301099,雅创电子,46.43,12.91,83.42,5.19,6809692026.0
300677,英科医疗,43.52,12.69,20.06,1.57,28496623695.0
300684,中石科技,44.37,12.16,54.7,6.79,13289224225.0
300179,四方达,12.87,11.72,58.75,5.27,6253646642.0
920351,华光源海,29.8,10.74,68.19,5.61,2623456082.0
300695,兆丰股份,114.4,10.48,82.3,4.47,11698192106.0
600617,国新能源,3.36,10.16,43.31,1.87,6482084367.0
002775,文科股份,4.92,10.07,139.78,12.54,3130251605.0
000626,远大控股,7.33,10.06,63.88,1.56,3713574913.0
002370,亚太药业,6.24,10.05,22.12,4.12,4652965387.0
002040,南 京 港,12.5,10.04,34.17,1.81,6099337313.0
600819,耀皮玻璃,8.22,10.04,44.49,2.18,7685010087.0
600067,冠城新材,3.4,10.03,120.91,0.85,4731673713.0
000969,安泰科技,19.86,10.03,55.72,3.75,20867261406.0
002636,金安国纪,13.5,10.02,69.72,2.91,9828000000.0
002942,新农股份,21.86,10.02,18.81,2.8,3407054350.0
002911,佛燃能源,14.05,10.02,29.45,3.98,18242438749.0
605188,国光连锁,19.0,10.02,239.84,7.91,9544811500.0
600843,上工申贝,13.73,10.02,-70.41,3.29,9791775770.0
603690,至纯科技,40.43,10.01,197.24,3.09,15510753200.0
002171,楚江新材,11.32,10.01,36.61,2.18,18371656711.0
002017,东信和平,25.28,10.01,91.18,8.44,14673318660.0
001225,和泰机电,52.2,10.01,89.24,2.48,3438246960.0
605055,迎丰股份,10.78,10.0,-117.46,4.32,4743200000.0
601011,宝泰隆,3.96,10.0,38.36,1.31,7586031574.0
600403,大有能源,4.95,10.0,-6.95,2.44,11834521390.0
000890,法尔胜,5.28,10.0,-73.66,1012.62,2214980951.0
002952,亚世光电,23.13,9.99,353.24,4.4,3801184200.0
002629,仁智股份,8.48,9.99,-152.49,80.35,3613311040.0
601579,会稽山,23.24,9.99,59.35,3.08,11142729625.0
603848,好太太,22.13,9.99,51.67,3.64,8905256088.0
000833,粤桂股份,14.87,9.99,25.44,3.23,11926962626.0
603903,中持股份,14.65,9.98,186.95,2.45,3740430382.0
002084,海鸥住工,4.52,9.98,-56.06,2.03,2920173301.0
000981,山子高科,4.74,9.98,108.41,38.22,47388012009.0
600078,澄星股份,9.92,9.98,180.86,3.89,6713983581.0
002696,百洋股份,6.84,9.97,100.48,1.76,2369117872.0
002208,合肥城建,11.14,9.97,371.02,1.38,8948671699.0
600172,黄河旋风,6.07,9.96,-14.63,7.23,8754059769.0
600537,亿晶光电,4.1,9.92,-15.91,16.97,4853231574.0
600868,梅雁吉祥,3.33,9.9,-104.12,3.26,6320835101.0
000045,深纺织Ａ,16.25,9.43,116.8,2.79,8230980046.0
920770,艾能聚,20.61,9.34,57.7,4.51,2682024127.0
300943,春晖智控,18.39,9.33,68.76,3.84,3748249800.0
600333,长春燃气,6.7,9.12,-37.04,2.17,4080505583.0
603301,振德医疗,65.89,9.02,68.71,3.12,17556469700.0
300270,中威电子,11.65,8.68,-45.13,6.21,3527690226.0
688599,天合光能,18.74,8.39,-7.0,1.8,40841307821.0
920509,同惠电子,47.77,8.15,130.64,23.2,7657803098.0
605318,法狮龙,50.67,8.13,-418.46,9.95,6370689849.0
002043,兔 宝 宝,12.35,8.05,19.13,3.33,10247467828.0
301388,欣灵电气,34.66,7.98,211.09,3.67,3550833816.0
601606,长城军工,56.0,7.86,-740.06,18.44,40556790400.0
600397,江钨装备,7.88,7.65,-13.46,-141.76,7800883870.0
600798,宁波海运,4.37,7.64,-67.19,1.35,5272554458.0
600173,卧龙新能,9.85,7.42,42.31,1.8,6899986503.0
688128,中国电研,35.85,7.37,28.08,4.42,14501325000.0
300509,新美星,10.94,7.36,39.49,5.59,3242616000.0
600400,红豆股份,2.97,7.22,-31.21,2.79,6805374400.0
001333,光华股份,25.68,7.18,32.68,1.95,3287040000.0
605169,洪通燃气,17.97,7.16,34.87,2.64,5083353600.0
300710,万隆光电,21.73,7.15,-77.2,4.71,2161924219.0
300818,耐普矿机,30.12,7.07,149.64,2.87,5083430832.0
000617,中油资本,11.81,7.07,28.76,1.45,149302953923.0
002459,晶澳科技,13.86,7.03,-8.89,1.89,45872195167.0
300774,倍杰特,15.98,7.03,65.77,4.5,6532043287.0
300756,金马游乐,58.66,6.79,130.87,6.56,9244709004.0
601116,三江购物,15.95,6.76,47.8,2.74,8735470480.0
920026,卓兆点胶,38.55,6.73,59.07,5.36,3164077833.0
603530,神马电力,41.51,6.71,55.9,10.25,17919226708.0
000799,酒鬼酒,63.55,6.68,1152.95,5.46,20649236679.0
601963,重庆银行,9.9,6.68,5.39,0.63,34398399440.0
000680,山推股份,11.36,6.67,14.99,3.0,17041620072.0
688480,赛恩斯,60.83,6.63,59.14,5.13,5798691469.0
300512,中亚股份,9.98,6.62,62.64,2.52,4068255933.0
002104,恒宝股份,21.96,6.55,219.98,7.26,15554710582.0
300948,冠中生态,19.69,6.55,-479.62,3.3,3056250316.0
605598,上海港湾,31.23,6.51,57.08,4.16,7638383585.0
603026,石大胜华,57.55,6.5,-118.85,2.77,13391943356.0
301311,昆船智能,20.29,6.4,-100.48,2.7,4869600000.0
300055,万邦达,6.99,6.39,129.95,1.13,5848879746.0
