代码,名称
301396,宏景科技
600718,东软集团
300523,辰安科技
603918,金桥信息
300440,运达科技
688088,XD虹软科
300448,浩云科技
688365,光云科技
600756,浪潮软件
300418,昆仑万维
002474,榕基软件
002316,亚联发展
300518,新迅达
688619,罗普特
301382,蜂助手
300150,世纪瑞尔
300264,佳创视讯
600850,电科数字
002380,科远智慧
300766,每日互动
300166,东方国信
688158,优刻得-W
688562,航天软件
000938,紫光股份
688500,慧辰股份
688568,中科星图
002264,新 华 都
300170,汉得信息
300541,先进数通
002591,恒大高新
200045,深纺织Ｂ
002368,太极股份
300645,正元智慧
300231,银信科技
300442,润泽科技
300017,网宿科技
688004,博汇科技
688292,浩瀚深度
600845,宝信软件
300496,中科创达
300271,华宇软件
300687,赛意信息
300288,朗玛信息
002315,焦点科技
300324,旋极信息
300678,中科信息
603171,税友股份
300634,彩讯股份
000555,神州信息
688039,当虹科技
300464,星徽股份
002354,天娱数科
002401,中远海科
301428,世纪恒通
600271,航天信息
300269,联建光电
300212,易华录
002649,博彦科技
300532,今天国际
000676,智度股份
300941,创识科技
603887,城地香江
300078,思创医惠
002095,生 意 宝
688509,正元地信
300079,数码视讯
688228,开普云
301171,易点天下
300226,上海钢联
300419,ST浩丰
688229,博睿数据
300846,首都在线
002912,中新赛克
603881,数据港
003005,竞业达
301085,亚康股份
300168,万达信息
002777,久远银海
300592,华凯易佰
833030,立方控股
300674,宇信科技
000997,新 大 陆
301381,赛维时代
301001,凯淳股份
300295,三六五网
300245,天玑科技
300250,初灵信息
688787,海天瑞声
688316,青云科技-U
688636,智明达
300167,ST迪威迅
301110,青木科技
605398,新炬网络
600446,金证股份
002771,真视通
600589,大位科技
300383,光环新网
002232,启明信息
301380,挖金客
300096,ST易联众
838227,美登科技
000409,云鼎科技
900901,云赛Ｂ股
002195,岩山科技
300059,东方财富
300508,维宏股份
002609,捷顺科技
603636,南威软件
688051,佳华科技
002115,三维通信
600571,信雅达
600131,国网信通
300895,铜牛信息
300738,奥飞数据
600797,浙大网新
600228,*ST返利
300300,海峡创新
301299,卓创资讯
002291,遥望科技
002657,中科金财
300792,壹网壹创
300290,荣科科技
300287,飞利信
603869,ST智知
300399,天利科技
838924,广脉科技
600358,ST联合
301270,汉仪股份
300609,汇纳科技
002642,荣联科技
603613,国联股份
002373,千方科技
300044,ST赛为
002331,皖通科技
600734,实达集团
300020,ST银江
300209,有棵树
300785,值得买
300277,海联讯
688258,卓易信息
600410,华胜天成
300248,新开普
300872,天阳科技
003010,若羽臣
002131,利欧股份
603496,恒为科技
