代码,名称,最新价,涨跌幅,市盈率-动态,市净率,总市值
832145,恒合股份,32.3,29.98,-205.2,8.72,2278765000.0
300111,向日葵,8.57,20.03,4752.24,16.05,11031395819.0
688233,神工股份,44.51,20.01,77.61,4.14,7580308309.0
300604,长川科技,96.32,20.0,71.1,16.05,60726471057.0
301209,联合化学,104.4,20.0,173.19,15.62,11692800000.0
688585,上纬新材,110.08,20.0,742.5,33.71,44402059018.0
301148,嘉戎技术,30.06,20.0,61.7,2.01,3501902225.0
300666,江丰电子,98.82,20.0,51.89,5.56,26218989894.0
300270,中威电子,10.8,20.0,-41.84,5.76,3270305102.0
688545,兴福电子,39.32,19.99,67.79,4.95,14155200000.0
300854,中兰环保,23.17,19.99,205.99,2.36,2318592938.0
688403,汇成股份,18.21,15.84,79.66,4.79,15300416543.0
688147,微导纳米,57.4,15.54,68.8,9.39,26470428044.0
300379,*ST东通,2.7,14.89,-13.66,0.49,1506391636.0
688082,盛美上海,189.2,14.81,60.0,10.13,83492292770.0
300421,力星股份,18.02,14.78,70.54,4.22,5298429322.0
300774,倍杰特,11.06,14.61,45.52,3.12,4520926080.0
688160,步科股份,109.1,14.07,189.77,7.98,9909793675.0
688559,海目星,45.82,13.73,-8.01,4.47,11352319396.0
688312,燕麦科技,35.75,13.49,90.05,3.71,5211320972.0
688120,华海清科,155.0,13.16,54.19,7.79,54777792050.0
688290,景业智能,74.48,12.85,682.27,5.91,7611089899.0
688141,杰华特,57.97,12.78,-43.89,14.12,25905633600.0
300346,南大光电,42.94,12.5,71.41,8.55,29678277415.0
301629,矽电股份,254.0,12.46,248.14,9.12,10598727596.0
688652,京仪装备,97.71,12.19,91.19,7.73,16415280000.0
688380,中微半导,37.94,11.98,87.83,5.1,15189848100.0
301256,华融化学,11.43,11.95,83.42,3.21,5486400000.0
688019,安集科技,218.5,11.88,49.02,12.13,36829105373.0
688335,复洁环保,24.02,11.82,267.88,3.1,3555790900.0
688409,富创精密,72.36,11.32,902.44,4.86,22157411390.0
688210,统联精密,62.78,11.23,1039.64,8.1,10132561104.0
688038,中科通达,17.03,11.09,-1166.08,3.31,1981839002.0
688361,中科飞测,114.25,10.92,-1000.9,14.56,36741864178.0
688037,芯源微,145.46,10.67,920.88,10.75,29328706476.0
834765,美之高,23.9,10.65,-587.68,6.9,2143149400.0
688392,骄成超声,98.2,10.59,97.91,6.47,11365015952.0
301360,荣旗科技,69.93,10.54,-360.93,3.26,3730066200.0
301396,宏景科技,82.93,10.46,105.6,10.19,12731210173.0
688503,聚和材料,68.71,10.22,46.03,3.5,16630131611.0
301093,华兰股份,44.74,10.2,83.99,3.24,7346380658.0
000826,启迪环境,2.49,10.18,-3.39,11.9,3549129588.0
600239,云南城投,2.82,10.16,-60.02,3.54,4528037083.0
600103,青山纸业,3.92,10.11,78.32,2.22,8784040848.0
002513,蓝丰生化,7.1,10.08,-28.19,-362.6,2524504244.0
600172,黄河旋风,5.24,10.08,-12.63,6.24,7557046654.0
002418,康盛股份,5.03,10.07,319.24,3.98,5716092000.0
600400,红豆股份,3.83,10.06,-40.25,3.6,8775954193.0
000685,中山公用,11.94,10.05,12.24,1.0,17612829531.0
001330,博纳影业,6.57,10.05,-4.28,2.13,9030589725.0
002453,华软科技,8.87,10.05,-39.34,7.58,7205696408.0
605055,迎丰股份,10.51,10.05,-114.52,4.21,4624400000.0
600095,湘财股份,12.71,10.04,128.3,3.04,36340276214.0
002490,山东墨龙,6.14,10.04,201.37,9.71,4898789176.0
